associativity,block_size_kb,cache_size_kb,capacity_misses,compulsory_misses,conflict_misses,hit_rate,hits,load_accesses,miss_rate,misses,notes,replacement_policy,runtime_seconds,store_accesses,total_accesses,workload_name
1,32,2048,935,887,57,0.0605,121,1292,0.9395,1879,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 887/57/935', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 MISS revisit set=34 tag=2', 'A#1991 MISS revisit set=22 tag=3', 'A#1992 MISS revisit set=2 tag=10', 'A#1993 MISS revisit set=50 tag=10', 'A#1994 MISS revisit set=57 tag=3', 'A#1995 MISS first-touch set=9 tag=5', 'A#1996 MISS revisit set=45 tag=1', 'A#1997 MISS revisit set=53 tag=7', 'A#1998 MISS revisit set=2 tag=13', 'A#1999 MISS revisit set=55 tag=2']",LRU,0.018196789000285207,708,2000,random
2,32,2048,918,887,58,0.0685,137,1292,0.9315,1863,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 887/58/918', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 MISS revisit set=2 tag=5', 'A#1991 MISS revisit set=22 tag=6', 'A#1992 MISS revisit set=2 tag=20', 'A#1993 MISS revisit set=18 tag=21', 'A#1994 MISS revisit set=25 tag=7', 'A#1995 MISS first-touch set=9 tag=10', 'A#1996 MISS revisit set=13 tag=3', 'A#1997 MISS revisit set=21 tag=15', 'A#1998 MISS revisit set=2 tag=26', 'A#1999 MISS revisit set=23 tag=5']",LRU,0.013052634999894508,708,2000,random
4,32,2048,916,887,58,0.0695,139,1292,0.9305,1861,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 887/58/916', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 MISS revisit set=2 tag=10', 'A#1991 MISS revisit set=6 tag=13', 'A#1992 MISS revisit set=2 tag=40', 'A#1993 MISS revisit set=2 tag=43', 'A#1994 MISS revisit set=9 tag=15', 'A#1995 MISS first-touch set=9 tag=20', 'A#1996 MISS revisit set=13 tag=6', 'A#1997 MISS revisit set=5 tag=31', 'A#1998 MISS revisit set=2 tag=52', 'A#1999 MISS revisit set=7 tag=11']",LRU,0.015656085000046005,708,2000,random
8,32,2048,917,887,59,0.0685,137,1292,0.9315,1863,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 887/59/917', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 MISS revisit set=2 tag=20', 'A#1991 MISS revisit set=6 tag=26', 'A#1992 MISS revisit set=2 tag=80', 'A#1993 MISS revisit set=2 tag=86', 'A#1994 MISS revisit set=1 tag=31', 'A#1995 MISS first-touch set=1 tag=41', 'A#1996 MISS revisit set=5 tag=13', 'A#1997 MISS revisit set=5 tag=62', 'A#1998 MISS revisit set=2 tag=104', 'A#1999 MISS revisit set=7 tag=22']",LRU,0.014221335000002,708,2000,random
1,64,2048,1334,503,36,0.0635,127,1292,0.9365,1873,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 503/36/1334', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 HIT set=17 tag=2', 'A#1991 MISS revisit set=11 tag=3', 'A#1992 MISS revisit set=1 tag=10', 'A#1993 MISS revisit set=25 tag=10', 'A#1994 MISS revisit set=28 tag=3', 'A#1995 MISS revisit set=4 tag=5', 'A#1996 MISS revisit set=22 tag=1', 'A#1997 MISS revisit set=26 tag=7', 'A#1998 MISS revisit set=1 tag=13', 'A#1999 MISS revisit set=27 tag=2']",LRU,0.011514694000197778,708,2000,random
2,64,2048,1325,503,39,0.0665,133,1292,0.9335,1867,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 503/39/1325', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 HIT set=1 tag=5', 'A#1991 MISS revisit set=11 tag=6', 'A#1992 MISS revisit set=1 tag=20', 'A#1993 MISS revisit set=9 tag=21', 'A#1994 MISS revisit set=12 tag=7', 'A#1995 MISS revisit set=4 tag=10', 'A#1996 MISS revisit set=6 tag=3', 'A#1997 MISS revisit set=10 tag=15', 'A#1998 MISS revisit set=1 tag=26', 'A#1999 MISS revisit set=11 tag=5']",LRU,0.016862791000221478,708,2000,random
4,64,2048,1334,503,38,0.0625,125,1292,0.9375,1875,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 503/38/1334', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 HIT set=1 tag=10', 'A#1991 MISS revisit set=3 tag=13', 'A#1992 MISS revisit set=1 tag=40', 'A#1993 MISS revisit set=1 tag=43', 'A#1994 MISS revisit set=4 tag=15', 'A#1995 MISS revisit set=4 tag=20', 'A#1996 MISS revisit set=6 tag=6', 'A#1997 MISS revisit set=2 tag=31', 'A#1998 MISS revisit set=1 tag=52', 'A#1999 MISS revisit set=3 tag=11']",LRU,0.015009261000159313,708,2000,random
8,64,2048,1328,503,39,0.065,130,1292,0.935,1870,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 503/39/1328', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 HIT set=1 tag=20', 'A#1991 MISS revisit set=3 tag=26', 'A#1992 MISS revisit set=1 tag=80', 'A#1993 MISS revisit set=1 tag=86', 'A#1994 MISS revisit set=0 tag=31', 'A#1995 MISS revisit set=0 tag=41', 'A#1996 MISS revisit set=2 tag=13', 'A#1997 MISS revisit set=2 tag=62', 'A#1998 MISS revisit set=1 tag=104', 'A#1999 MISS revisit set=3 tag=22']",LRU,0.013736262999827886,708,2000,random
1,128,2048,1601,256,23,0.06,120,1292,0.94,1880,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 256/23/1601', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 MISS revisit set=8 tag=2', 'A#1991 MISS revisit set=5 tag=3', 'A#1992 MISS revisit set=0 tag=10', 'A#1993 MISS revisit set=12 tag=10', 'A#1994 MISS revisit set=14 tag=3', 'A#1995 MISS revisit set=2 tag=5', 'A#1996 MISS revisit set=11 tag=1', 'A#1997 MISS revisit set=13 tag=7', 'A#1998 MISS revisit set=0 tag=13', 'A#1999 MISS revisit set=13 tag=2']",LRU,0.013769883000350092,708,2000,random
2,128,2048,1587,256,23,0.067,134,1292,0.933,1866,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 256/23/1587', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 MISS revisit set=0 tag=5', 'A#1991 MISS revisit set=5 tag=6', 'A#1992 MISS revisit set=0 tag=20', 'A#1993 MISS revisit set=4 tag=21', 'A#1994 MISS revisit set=6 tag=7', 'A#1995 MISS revisit set=2 tag=10', 'A#1996 MISS revisit set=3 tag=3', 'A#1997 MISS revisit set=5 tag=15', 'A#1998 MISS revisit set=0 tag=26', 'A#1999 MISS revisit set=5 tag=5']",LRU,0.012657299000238709,708,2000,random
