associativity,block_size_kb,cache_size_kb,capacity_misses,compulsory_misses,conflict_misses,hit_rate,hits,load_accesses,miss_rate,misses,notes,replacement_policy,runtime_seconds,store_accesses,total_accesses,workload_name
4,16,2048,30,443,1,0.052,26,330,0.948,474,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 443/1/30', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=28 tag=4', 'A#491 MISS first-touch set=15 tag=41', 'A#492 MISS first-touch set=10 tag=58', 'A#493 MISS first-touch set=6 tag=39', 'A#494 MISS first-touch set=14 tag=39', 'A#495 MISS first-touch set=15 tag=54', 'A#496 MISS first-touch set=1 tag=47', 'A#497 MISS first-touch set=3 tag=56', 'A#498 MISS first-touch set=14 tag=0', 'A#499 MISS first-touch set=20 tag=62']",LRU,0.0017271940005230135,170,500,random
8,16,2048,31,443,1,0.05,25,330,0.95,475,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 443/1/31', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=12 tag=9', 'A#491 MISS first-touch set=15 tag=82', 'A#492 MISS first-touch set=10 tag=116', 'A#493 MISS first-touch set=6 tag=78', 'A#494 MISS first-touch set=14 tag=78', 'A#495 MISS first-touch set=15 tag=108', 'A#496 MISS first-touch set=1 tag=94', 'A#497 MISS first-touch set=3 tag=112', 'A#498 MISS first-touch set=14 tag=0', 'A#499 MISS first-touch set=4 tag=125']",LRU,0.0015791089999765973,170,500,random
1,32,2048,84,387,0,0.058,29,330,0.942,471,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 387/0/84', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=14 tag=1', 'A#491 MISS revisit set=23 tag=10', 'A#492 MISS first-touch set=37 tag=14', 'A#493 MISS first-touch set=51 tag=9', 'A#494 MISS revisit set=55 tag=9', 'A#495 MISS first-touch set=39 tag=13', 'A#496 MISS first-touch set=48 tag=11', 'A#497 MISS first-touch set=1 tag=14', 'A#498 MISS first-touch set=7 tag=0', 'A#499 MISS revisit set=42 tag=15']",LRU,0.0016397239996877033,170,500,random
2,32,2048,81,387,0,0.064,32,330,0.936,468,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 387/0/81', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=14 tag=2', 'A#491 MISS revisit set=23 tag=20', 'A#492 MISS first-touch set=5 tag=29', 'A#493 MISS first-touch set=19 tag=19', 'A#494 MISS revisit set=23 tag=19', 'A#495 MISS first-touch set=7 tag=27', 'A#496 MISS first-touch set=16 tag=23', 'A#497 MISS first-touch set=1 tag=28', 'A#498 MISS first-touch set=7 tag=0', 'A#499 MISS revisit set=10 tag=31']",LRU,0.0024423690001640352,170,500,random
4,32,2048,80,387,0,0.066,33,330,0.934,467,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 387/0/80', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=14 tag=4', 'A#491 MISS revisit set=7 tag=41', 'A#492 MISS first-touch set=5 tag=58', 'A#493 MISS first-touch set=3 tag=39', 'A#494 MISS revisit set=7 tag=39', 'A#495 MISS first-touch set=7 tag=54', 'A#496 MISS first-touch set=0 tag=47', 'A#497 MISS first-touch set=1 tag=56', 'A#498 MISS first-touch set=7 tag=0', 'A#499 MISS revisit set=10 tag=62']",LRU,0.002050164999673143,170,500,random
8,32,2048,78,387,0,0.07,35,330,0.93,465,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 387/0/78', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=6 tag=9', 'A#491 MISS revisit set=7 tag=82', 'A#492 MISS first-touch set=5 tag=116', 'A#493 MISS first-touch set=3 tag=78', 'A#494 MISS revisit set=7 tag=78', 'A#495 MISS first-touch set=7 tag=108', 'A#496 MISS first-touch set=0 tag=94', 'A#497 MISS first-touch set=1 tag=112', 'A#498 MISS first-touch set=7 tag=0', 'A#499 MISS revisit set=2 tag=125']",LRU,0.0016121239996209624,170,500,random
1,64,2048,165,306,0,0.058,29,330,0.942,471,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 306/0/165', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=7 tag=1', 'A#491 MISS revisit set=11 tag=10', 'A#492 MISS first-touch set=18 tag=14', 'A#493 MISS first-touch set=25 tag=9', 'A#494 MISS revisit set=27 tag=9', 'A#495 MISS revisit set=19 tag=13', 'A#496 MISS first-touch set=24 tag=11', 'A#497 MISS first-touch set=0 tag=14', 'A#498 MISS revisit set=3 tag=0', 'A#499 MISS revisit set=21 tag=15']",LRU,0.0015587110001433757,170,500,random
2,64,2048,162,306,0,0.064,32,330,0.936,468,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 306/0/162', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=7 tag=2', 'A#491 MISS revisit set=11 tag=20', 'A#492 MISS first-touch set=2 tag=29', 'A#493 MISS first-touch set=9 tag=19', 'A#494 MISS revisit set=11 tag=19', 'A#495 MISS revisit set=3 tag=27', 'A#496 MISS first-touch set=8 tag=23', 'A#497 MISS first-touch set=0 tag=28', 'A#498 MISS revisit set=3 tag=0', 'A#499 MISS revisit set=5 tag=31']",LRU,0.001504482000200369,170,500,random
4,64,2048,161,306,0,0.066,33,330,0.934,467,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 306/0/161', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=7 tag=4', 'A#491 MISS revisit set=3 tag=41', 'A#492 MISS first-touch set=2 tag=58', 'A#493 MISS first-touch set=1 tag=39', 'A#494 MISS revisit set=3 tag=39', 'A#495 MISS revisit set=3 tag=54', 'A#496 MISS first-touch set=0 tag=47', 'A#497 MISS first-touch set=0 tag=56', 'A#498 MISS revisit set=3 tag=0', 'A#499 MISS revisit set=5 tag=62']",LRU,0.0016138609998961329,170,500,random
8,64,2048,156,306,1,0.074,37,330,0.926,463,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 306/1/156', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=3 tag=9', 'A#491 MISS revisit set=3 tag=82', 'A#492 MISS first-touch set=2 tag=116', 'A#493 MISS first-touch set=1 tag=78', 'A#494 MISS revisit set=3 tag=78', 'A#495 MISS revisit set=3 tag=108', 'A#496 MISS first-touch set=0 tag=94', 'A#497 MISS first-touch set=0 tag=112', 'A#498 MISS revisit set=3 tag=0', 'A#499 MISS revisit set=1 tag=125']",LRU,0.001517710000371153,170,500,random
